Name,Organization,Year Elected,Residency
Adrien G. Camper,APS,1806,International
Joseph Cloud,APS,1806,Resident
Samuel F. Conover,APS,1806,Resident
William Dubourg,APS,1806,Resident
John Maclean,APS,1806,Resident
Martinus van Martius,APS,1806,International
Joseph Sansom,APS,1806,Resident
Francisco de Borja Garcao Stockler,APS,1806,International
Olof Swartz,APS,1806,International
Comte Antoine L.C. Desturr de Tracy,APS,1806,International
Samuel B. Wylie,APS,1806,Resident
Archibald Bruce,APS,1807,Resident
Nathaniel Chapman,APS,1807,Resident
Mahlon Dickerson,APS,1807,Resident
John E. Forstroem,APS,1807,International
James Gibson,APS,1807,Resident
Ferd R. Hassler,APS,1807,Resident
George Izard,APS,1807,Resident
John McDowell,APS,1807,Resident
Ir _ e Du Pont,APS,1807,Resident
Comte de Charles P. Lasteyrie du Saillant,APS,1807,International
Horace Binney,APS,1808,Resident
Edward Penington,APS,1808,Resident
William Staughton,APS,1808,Resident
Joel Barlow,APS,1809,Resident
Nathaniel Bowditch,APS,1809,Resident
Ross Cuthbert,APS,1809,International
George William Featherstonhaugh,APS,1809,Resident
Robert Fulton,APS,1809,Resident
Silvain Godon,APS,1809,Resident
Francois A. Michaux,APS,1809,International
Thomas Moore,APS,1809,Resident
Robert M. Patterson,APS,1809,Resident
David B. Warden,APS,1809,Resident
James Winthrop,APS,1809,Resident
J.H. Brinton,APS,1810,Resident
Humphry Davy,APS,1810,International
George Gibbs,APS,1810,Resident
John Haighton,APS,1810,International
David Hosack,APS,1810,Resident
William Johnson,APS,1810,Resident
William Bentley,APS,1811,Resident
John Davis,APS,1811,Resident
John M. Good,APS,1811,International
Louis N. Vanquelin,APS,1811,International
Charles J. Wister,APS,1811,Resident
Robert Adrain,APS,1812,Resident
Benjamin Allen,APS,1812,Resident
Jose F. Correa da Serra,APS,1812,International
Robert Walsh,APS,1812,Resident
W.P.C. Barton,APS,1813,Resident
Nicholas Biddle,APS,1813,Resident
Charles Chauncey,APS,1813,Resident
Constant Dumeril,APS,1813,International
Reuben Haines,APS,1813,Resident
William Hembel,APS,1813,Resident
